,Index,AB,R,HR,RBI,SB,AVG,OBP,H,2B,3B,BBh,SO,SLG,OPS,PTS,Type,Link,IP,K,W,SV,ERA,WHIP,ER,BB,G,GS,L,CG,K9,ID,PlayerInfo,Name,Last,Team,Positions,Status,Projections,Rank,Player,BestADP,WorstADP,AvgADP,StdADP,ADP,vsADP,Notes,Positions2,PlayerInfo2,Description,PtsRank
0,Ronald Acuna Jr._ATL,584.0,130.0,36,97.0,54.0,0.321,0.399,188,33.0,3.0,75.0,102.0,0.574,0.972,591,H,https://www.fantasypros.com/mlb/players/ronald-acuna.php,,,,,,,,,,,,,,ronald-acuna,Ronald Acuna Jr. (ATL - OF),Ronald Acuna Jr.,Acuna Jr.,ATL,OF,,.321|130R|36HR|97RBI|54SB,1.0,Ronald Acuna Jr. (ATL - RF),1.0,1.0,1.0,0.0,1.0,0.0,"Ronald Acuna Jr. is a top pick for all 2024 fantasy leagues. At 25, he showcased his prowess in 2023 by playing 159 games with a .337/.416/.596 slash line. His remarkable performance included 41 homers, 106 RBIs, and 149 runs. Impressively, he also stole 73 bases. Acuna excelled against nearly all pitch types and maintained a low strikeout rate of 11.4%. Despite a slightly lower walk percentage, he redefined a five-category fantasy player. If you have the top pick, don't overthink it.",OF,Ronald Acuna Jr. (ATL - OF),".321|130R|36HR|97RBI|54SB
Ronald Acuna Jr. is a top pick for all 2024 fantasy leagues. At 25, he showcased his prowess in 2023 by playing 159 games with a .337/.416/.596 slash line. His remarkable performance included 41 homers, 106 RBIs, and 149 runs. Impressively, he also stole 73 bases. Acuna excelled against nearly all pitch types and maintained a low strikeout rate of 11.4%. Despite a slightly lower walk percentage, he redefined a five-category fantasy player. If you have the top pick, don't overthink it.",1.0
1,Julio Rodriguez_SEA,598.0,99.0,31,93.0,31.0,0.278,0.333,166,34.0,3.0,50.0,152.0,0.503,0.836,425,H,https://www.fantasypros.com/mlb/players/julio-rodriguez-of.php,,,,,,,,,,,,,,julio-rodriguez-of,Julio Rodriguez (SEA - OF),Julio Rodriguez,Rodriguez,SEA,OF,,.278|99R|31HR|93RBI|31SB,2.0,Julio Rodriguez (SEA - CF),2.0,8.0,2.9,0.6,2.0,0.0,"At the end of June 2023, no one would have said Julio Rodriguez should be a first-round pick in 2024 fantasy drafts. The 22-year-old had a slash line of .238/.302/.407 through the first three months of the season. Yet, his post-July performance was remarkable, hitting .312/.364/.561, contributing 32 HRs, 37 SBs, and over 100 runs and RBIs. Despite a 24.5% strikeout rate, his overall .279 average and balanced stats make him a strong OF1 for fantasy managers.",OF,Julio Rodriguez (SEA - OF),".278|99R|31HR|93RBI|31SB
At the end of June 2023, no one would have said Julio Rodriguez should be a first-round pick in 2024 fantasy drafts. The 22-year-old had a slash line of .238/.302/.407 through the first three months of the season. Yet, his post-July performance was remarkable, hitting .312/.364/.561, contributing 32 HRs, 37 SBs, and over 100 runs and RBIs. Despite a 24.5% strikeout rate, his overall .279 average and balanced stats make him a strong OF1 for fantasy managers.",23.0
2,Bobby Witt Jr._KC,603.0,97.0,29,90.0,42.0,0.278,0.325,168,30.0,8.0,42.0,118.0,0.498,0.823,455,H,https://www.fantasypros.com/mlb/players/bobby-witt-jr.php,,,,,,,,,,,,,,bobby-witt-jr,Bobby Witt Jr. (KC - SS),Bobby Witt Jr.,Witt Jr.,KC,SS,,.278|97R|29HR|90RBI|42SB,3.0,Bobby Witt Jr. (KC - SS),2.0,7.0,3.1,1.4,3.0,0.0,"Bobby Witt Jr. showed up for his second season and made strides across the board. The 24-year-old played in 158 games and hit 30 home runs. He also stole 49 bases, scored 97 runs, drove in 96, and slashed .276/.319/.495. Finding a 30/30 guy eligible for third base used to be reserved for Jose Ramirez, but the torch has been passed. The sole knock against Witt is the team he plays for, but that seems like splitting hairs, considering he almost managed to go 100/100 anyway. Witt should be the first third baseman off the board in 2024, and if he's not someone else's, he should be yours.",SS,Bobby Witt Jr. (KC - SS),".278|97R|29HR|90RBI|42SB
Bobby Witt Jr. showed up for his second season and made strides across the board. The 24-year-old played in 158 games and hit 30 home runs. He also stole 49 bases, scored 97 runs, drove in 96, and slashed .276/.319/.495. Finding a 30/30 guy eligible for third base used to be reserved for Jose Ramirez, but the torch has been passed. The sole knock against Witt is the team he plays for, but that seems like splitting hairs, considering he almost managed to go 100/100 anyway. Witt should be the first third baseman off the board in 2024, and if he's not someone else's, he should be yours.",14.0
3,Corbin Carroll_ARI,576.0,103.0,25,79.0,44.0,0.276,0.346,159,30.0,9.0,62.0,133.0,0.486,0.833,438,H,https://www.fantasypros.com/mlb/players/corbin-carroll-of.php,,,,,,,,,,,,,,corbin-carroll-of,Corbin Carroll (ARI - OF),Corbin Carroll,Carroll,ARI,OF,,.276|103R|25HR|79RBI|44SB,4.0,"Corbin Carroll (ARI - LF,CF,RF)",2.0,6.0,4.5,0.7,10.0,6.0,"Corbin Carroll arrived on the scene in 2023 and immediately showcased his power and speed, launching 25 homers and swiping 54 bases. He crossed the plate 116 times and notched 76 RBIs. With a solid .362 on-base percentage, Carroll stands out, especially given his top-tier speed, ranked in the 99th percentile. There is concern that his OBP was slightly inflated, which could slightly dampen his numbers, but he is still a solid first-round pick. Carroll's contact skills hint at sustained high-level performance into 2024 and beyond.",OF,Corbin Carroll (ARI - OF),".276|103R|25HR|79RBI|44SB
Corbin Carroll arrived on the scene in 2023 and immediately showcased his power and speed, launching 25 homers and swiping 54 bases. He crossed the plate 116 times and notched 76 RBIs. With a solid .362 on-base percentage, Carroll stands out, especially given his top-tier speed, ranked in the 99th percentile. There is concern that his OBP was slightly inflated, which could slightly dampen his numbers, but he is still a solid first-round pick. Carroll's contact skills hint at sustained high-level performance into 2024 and beyond.",19.0
4,Mookie Betts_LAD,584.0,120.0,34,92.0,14.0,0.283,0.37,165,38.0,2.0,81.0,111.0,0.527,0.897,507,H,https://www.fantasypros.com/mlb/players/mookie-betts.php,,,,,,,,,,,,,,mookie-betts,"Mookie Betts (LAD - 2B,OF)",Mookie Betts,Betts,LAD,"2B,OF",,.283|120R|34HR|92RBI|14SB,5.0,"Mookie Betts (LAD - 2B,RF)",2.0,10.0,4.8,1.5,4.0,-1.0,"Mookie Betts, at 30, continues to be an elite asset in fantasy baseball with a .307/.408/.579 slash line, 39 homers, 126 runs, and 107 RBIs in 2023. Though his 14 stolen bases are modest, Betts compensates with power and a superb eye, boasting a 13.9% walk rate and an elite 15.4% strikeout rate. He continued to be durable, playing in 152 games with 693 plate appearances. As Betts ages, expect a trade-off of speed for power, yet with a sustained high average. The Dodgers' strong lineup bolsters him, and his multi-position eligibility makes him a dependable, Top-6 fantasy asset.","2B,OF","Mookie Betts (LAD - 2B,OF)",".283|120R|34HR|92RBI|14SB
Mookie Betts, at 30, continues to be an elite asset in fantasy baseball with a .307/.408/.579 slash line, 39 homers, 126 runs, and 107 RBIs in 2023. Though his 14 stolen bases are modest, Betts compensates with power and a superb eye, boasting a 13.9% walk rate and an elite 15.4% strikeout rate. He continued to be durable, playing in 152 games with 693 plate appearances. As Betts ages, expect a trade-off of speed for power, yet with a sustained high average. The Dodgers' strong lineup bolsters him, and his multi-position eligibility makes him a dependable, Top-6 fantasy asset.",4.0
5,Kyle Tucker_HOU,549.0,94.0,31,104.0,25.0,0.286,0.367,157,33.0,4.0,71.0,94.0,0.528,0.895,498,H,https://www.fantasypros.com/mlb/players/kyle-tucker.php,,,,,,,,,,,,,,kyle-tucker,Kyle Tucker (HOU - OF),Kyle Tucker,Tucker,HOU,OF,,.286|94R|31HR|104RBI|25SB,6.0,Kyle Tucker (HOU - RF),3.0,14.0,6.7,1.2,5.0,-1.0,"Kyle Tucker nearly achieved a 30/30 season and topped the American League with 112 RBIs last year. His walk rate hit a career-high of 11.9%, while his strikeout rate dropped to 13.6%. In 5x5 leagues, his .284/.369/.517 line was impressive. Tucker's consistent underlying metrics hint at sustained production, and he is poised for a 35/25 season in 2024. Don't forget about him in the first round on draft day.",OF,Kyle Tucker (HOU - OF),".286|94R|31HR|104RBI|25SB
Kyle Tucker nearly achieved a 30/30 season and topped the American League with 112 RBIs last year. His walk rate hit a career-high of 11.9%, while his strikeout rate dropped to 13.6%. In 5x5 leagues, his .284/.369/.517 line was impressive. Tucker's consistent underlying metrics hint at sustained production, and he is poised for a 35/25 season in 2024. Don't forget about him in the first round on draft day.",5.0
6,Freddie Freeman_LAD,588.0,110.0,26,97.0,13.0,0.306,0.385,180,43.0,2.0,76.0,114.0,0.52,0.905,497,H,https://www.fantasypros.com/mlb/players/freddie-freeman.php,,,,,,,,,,,,,,freddie-freeman,Freddie Freeman (LAD - 1B),Freddie Freeman,Freeman,LAD,1B,,.306|110R|26HR|97RBI|13SB,7.0,Freddie Freeman (LAD - 1B),6.0,17.0,9.0,1.9,9.0,2.0,"Freddie Freeman has established himself as an irreplaceable cornerstone for the Dodgers, entering 2024 as one of baseball's most consistent and elite performers. At 34, he's defying age-related expectations, showcasing a blend of power, skill, and speed rarely seen at his position. In 2023, Freeman delivered an elite .334 batting average while driving in 101 runs and smashing 28 home runs. He also reached the milestone of 200 hits for the first time in his career. His season was filled with career highs, including 21 stolen bases, 125 runs scored, and 56 doubles, nearing the first 60-double season in the majors since 1936. Heading into 2024, Freddie Freeman isn't just an asset for the Dodgers; he's a fantasy baseball gem, offering a rare mix of average, power, and speed. He should be the first 1B off the board.",1B,Freddie Freeman (LAD - 1B),".306|110R|26HR|97RBI|13SB
Freddie Freeman has established himself as an irreplaceable cornerstone for the Dodgers, entering 2024 as one of baseball's most consistent and elite performers. At 34, he's defying age-related expectations, showcasing a blend of power, skill, and speed rarely seen at his position. In 2023, Freeman delivered an elite .334 batting average while driving in 101 runs and smashing 28 home runs. He also reached the milestone of 200 hits for the first time in his career. His season was filled with career highs, including 21 stolen bases, 125 runs scored, and 56 doubles, nearing the first 60-double season in the majors since 1936. Heading into 2024, Freddie Freeman isn't just an asset for the Dodgers; he's a fantasy baseball gem, offering a rare mix of average, power, and speed. He should be the first 1B off the board.",6.0
7,Aaron Judge_NYY,524.0,109.0,45,108.0,8.0,0.277,0.395,145,24.0,1.0,102.0,170.0,0.582,0.977,477,H,https://www.fantasypros.com/mlb/players/aaron-judge.php,,,,,,,,,,,,,,aaron-judge,"Aaron Judge (NYY - DH,OF)",Aaron Judge,Judge,NYY,"DH,OF",,.277|109R|45HR|108RBI|8SB,8.0,"Aaron Judge (NYY - RF,DH)",4.0,14.0,9.7,2.4,8.0,0.0,"In 2023, Aaron Judge played 106 games, the least since 2019. Despite this, he delivered impressive stats: a .267/.406/.613 slash line with 37 homers. While remarkable, these figures probably disappointed those who expected more from a Top 5 pick. Statcast ranks Judge at the absolute top of several metrics, including xwOBA, xSLG, avgEV, Barrel%, HardHit%, and BB%. Judge remains an offensive powerhouse, but some health risks put him at a better value as a second-round pick in 12-team leagues.","DH,OF","Aaron Judge (NYY - DH,OF)",".277|109R|45HR|108RBI|8SB
In 2023, Aaron Judge played 106 games, the least since 2019. Despite this, he delivered impressive stats: a .267/.406/.613 slash line with 37 homers. While remarkable, these figures probably disappointed those who expected more from a Top 5 pick. Statcast ranks Judge at the absolute top of several metrics, including xwOBA, xSLG, avgEV, Barrel%, HardHit%, and BB%. Judge remains an offensive powerhouse, but some health risks put him at a better value as a second-round pick in 12-team leagues.",10.0
8,Fernando Tatis Jr._SD,592.0,100.0,32,94.0,28.0,0.276,0.342,163,35.0,1.0,59.0,143.0,0.502,0.844,435,H,https://www.fantasypros.com/mlb/players/fernando-tatis-jr.php,,,,,,,,,,,,,,fernando-tatis-jr,Fernando Tatis Jr. (SD - OF),Fernando Tatis Jr.,Tatis Jr.,SD,OF,,.276|100R|32HR|94RBI|28SB,9.0,Fernando Tatis Jr. (SD - RF),4.0,28.0,9.8,5.1,7.0,-2.0,"In 2023, Fernando Tatis Jr. showed a deceiving decline, batting .257/.322/.449 post-suspension. Yet, a deeper look reveals a promising expected slash line of .282/.332/.511, with a low BABIP (.299) impacting his performance. Tatis achieved a career-low strikeout rate (22.2%), hitting 25 homers and swiping 29 bases. A weaker team offense hinders him, so his overall stats don't reflect his potential. Avoiding off-field mishaps, Tatis, at 25, is a strong candidate for a significant rebound. He's a steal in drafts if available at a reduced price.",OF,Fernando Tatis Jr. (SD - OF),".276|100R|32HR|94RBI|28SB
In 2023, Fernando Tatis Jr. showed a deceiving decline, batting .257/.322/.449 post-suspension. Yet, a deeper look reveals a promising expected slash line of .282/.332/.511, with a low BABIP (.299) impacting his performance. Tatis achieved a career-low strikeout rate (22.2%), hitting 25 homers and swiping 29 bases. A weaker team offense hinders him, so his overall stats don't reflect his potential. Avoiding off-field mishaps, Tatis, at 25, is a strong candidate for a significant rebound. He's a steal in drafts if available at a reduced price.",20.0
9,Shohei Ohtani_LAD,543.0,109.0,39,104.0,20.0,0.284,0.384,154,29.0,6.0,88.0,158.0,0.574,0.958,493,P,https://www.fantasypros.com/mlb/players/shohei-ohtani.php,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,shohei-ohtani-dh,"Shohei Ohtani (LAD - DH,SP)",Shohei Ohtani,Ohtani,LAD,"DH,SP",,".284|109R|39HR|104RBI|20SB
0-0-0SV|0.00|0.00|nanK9",10.0,"Shohei Ohtani (LAD - DH,SP)",2.0,18.0,9.9,2.9,104.0,94.0,"Shohei Ohtani remains a fantasy giant, even if he is only a hitter in 2024. Despite playing for an underwhelming Angels team, he delivered 95 RBIs, 102 runs, 44 homers, and 20 steals in 135 games. His recovery from an elbow injury should mirror Bryce Harper's successful return, indicating minimal impact on his elite performance. Statcast ranks Ohtani in the top 98th percentile for batting run value, leading in barrel percentage, exit velocity, and expected slugging. The only concern is the trend of players underperforming after big free-agent deals, but Ohtani's exceptional skill set makes him a solid addition to fantasy lineups. There is a chance he could slip to the second round, which boosts his value even higher.","DH,SP","Shohei Ohtani (LAD - DH,SP)",".284|109R|39HR|104RBI|20SB
0-0-0SV|0.00|0.00|nanK9
Shohei Ohtani remains a fantasy giant, even if he is only a hitter in 2024. Despite playing for an underwhelming Angels team, he delivered 95 RBIs, 102 runs, 44 homers, and 20 steals in 135 games. His recovery from an elbow injury should mirror Bryce Harper's successful return, indicating minimal impact on his elite performance. Statcast ranks Ohtani in the top 98th percentile for batting run value, leading in barrel percentage, exit velocity, and expected slugging. The only concern is the trend of players underperforming after big free-agent deals, but Ohtani's exceptional skill set makes him a solid addition to fantasy lineups. There is a chance he could slip to the second round, which boosts his value even higher.",7.0
