,Index,AB,R,HR,RBI,SB,AVG,OBP,H,2B,3B,BBh,SO,SLG,OPS,PTS,Type,Link,IP,K,W,SV,ERA,WHIP,ER,BB,G,GS,L,CG,K9,ID,PlayerInfo,Name,Last,Team,Positions,Status,Projections,Rank,Player,RTS,NFBC,ADP,Positions_adp,PlayerInfo_adp,PhotoURL,Player_notes,Notes,PlayerInfo_notes,Name_notes,Last_notes,Team_notes,Positions_notes,Status_notes,Description,vsADP,PtsRank
0,Shohei Ohtani_LAD,571.0,121.0,45,108.0,24.0,0.28,0.38,160,29.0,6.0,92.0,163.0,0.591,0.971,531,P,https://www.fantasypros.com/mlb/players/shohei-ohtani.php,110.3,131.0,8.0,0.0,3.33,1.12,41.0,35.0,22.0,22.0,5.0,0.0,10.69,shohei-ohtani,"Shohei Ohtani (LAD - DH,SP)",Shohei Ohtani,Ohtani,LAD,"DH,SP",,".280|121R|45HR|108RBI|24SB
8-5-0SV|3.33|1.12|10.69K9",1,"Shohei Ohtani (LAD - DH,SP)",1,1,1.0,"DH,SP","Shohei Ohtani (LAD - DH,SP)",https://images.fantasypros.com/images/players/mlb/7354/headshot/70x70.png,"Shohei Ohtani (DH,SP - LAD)","There's no real debate at the top of 2026 fantasy drafts: In formats where he is considered one player, Shohei Ohtani remains the clear-cut 1.01 thanks to his unmatched two-way impact. Offensively, his 2026 projections again place him among the game's elite, with 45-plus home runs, triple-digit runs and RBI, and an on-base percentage north of .390 while continuing to anchor the Dodgers' lineup from the leadoff spot. The stolen base ceiling isn't what it was earlier in his career, but projected totals in the high teens still provide a valuable bonus atop his league-leading power and run production.

What truly separates Ohtani, however, is his return as a full-time starting pitcher. His 2026 projections peg him as a top-tier arm, capable of delivering ace-level strikeout totals, strong ratios, and double-digit wins in one of baseball's best team contexts. Even with some workload management baked in, Ohtani's ability to provide elite value on both sides of the ball gives fantasy managers a structural advantage no other player can match. As long as he's healthy, Ohtani isn't just the safest pick in fantasy baseball; he's still redefining what roster construction can look like.","Shohei Ohtani (LAD - DH,SP)",Shohei Ohtani,Ohtani,LAD,"DH,SP",,".280|121R|45HR|108RBI|24SB
8-5-0SV|3.33|1.12|10.69K9
There's no real debate at the top of 2026 fantasy drafts: In formats where he is considered one player, Shohei Ohtani remains the clear-cut 1.01 thanks to his unmatched two-way impact. Offensively, his 2026 projections again place him among the game's elite, with 45-plus home runs, triple-digit runs and RBI, and an on-base percentage north of .390 while continuing to anchor the Dodgers' lineup from the leadoff spot. The stolen base ceiling isn't what it was earlier in his career, but projected totals in the high teens still provide a valuable bonus atop his league-leading power and run production.

What truly separates Ohtani, however, is his return as a full-time starting pitcher. His 2026 projections peg him as a top-tier arm, capable of delivering ace-level strikeout totals, strong ratios, and double-digit wins in one of baseball's best team contexts. Even with some workload management baked in, Ohtani's ability to provide elite value on both sides of the ball gives fantasy managers a structural advantage no other player can match. As long as he's healthy, Ohtani isn't just the safest pick in fantasy baseball; he's still redefining what roster construction can look like.",0.0,1.0
1,Aaron Judge_NYY,529.0,109.0,47,112.0,9.0,0.289,0.414,153,26.0,1.0,113.0,162.0,0.609,1.023,519,H,https://www.fantasypros.com/mlb/players/aaron-judge.php,,,,,,,,,,,,,,aaron-judge,"Aaron Judge (NYY - DH,OF)",Aaron Judge,Judge,NYY,"DH,OF",,.289|109R|47HR|112RBI|9SB,2,"Aaron Judge (NYY - DH,OF)",2,2,2.0,"DH,OF","Aaron Judge (NYY - DH,OF)",https://images.fantasypros.com/images/players/mlb/4955/headshot/70x70.png,"Aaron Judge (CF,DH,RF - NYY)","Aaron Judge followed up his MVP-caliber 2025 with another elite power profile, delivering 53 HR, 1.144 OPS, and a career-best 12 SB. His 2026 projections still anticipate slight regression & around 43 HR and a .285 AVG, but the underlying rates (elite barrel%, top-tier OBP stability) remain intact. Even with natural aging curves factored in, Judge projects as one of the safest four-category anchors in fantasy. He remains a first-round bat with minimal risk thanks to bankable power and sustainable plate discipline.","Aaron Judge (NYY - DH,OF)",Aaron Judge,Judge,NYY,"DH,OF",,".289|109R|47HR|112RBI|9SB
Aaron Judge followed up his MVP-caliber 2025 with another elite power profile, delivering 53 HR, 1.144 OPS, and a career-best 12 SB. His 2026 projections still anticipate slight regression & around 43 HR and a .285 AVG, but the underlying rates (elite barrel%, top-tier OBP stability) remain intact. Even with natural aging curves factored in, Judge projects as one of the safest four-category anchors in fantasy. He remains a first-round bat with minimal risk thanks to bankable power and sustainable plate discipline.",0.0,2.0
2,Bobby Witt Jr._KC,602.0,101.0,28,91.0,34.0,0.292,0.346,176,38.0,5.0,49.0,111.0,0.514,0.86,478,H,https://www.fantasypros.com/mlb/players/bobby-witt-jr.php,,,,,,,,,,,,,,bobby-witt-jr,Bobby Witt Jr. (KC - SS),Bobby Witt Jr.,Witt Jr.,KC,SS,,.292|101R|28HR|91RBI|34SB,3,Bobby Witt Jr. (KC - SS),4,3,4.0,SS,Bobby Witt Jr. (KC - SS),https://images.fantasypros.com/images/players/mlb/6810/headshot/70x70.png,Bobby Witt Jr. (SS - KC),"Bobby Witt Jr. solidified his status as a top-tier fantasy building block, finishing 2025 with 31 HR, 49 SB, and a .298 average while cutting his chase rate for the second straight season. Projections for 2026 keep him squarely in the elite tier with 30+ HR, 40+ SB, and strong run production. The continued gains in swing decisions and contact quality suggest his breakout is fully sustainable. Witt is a top-three overall fantasy pick with league-winning category balance.",Bobby Witt Jr. (KC - SS),Bobby Witt Jr.,Witt Jr.,KC,SS,,".292|101R|28HR|91RBI|34SB
Bobby Witt Jr. solidified his status as a top-tier fantasy building block, finishing 2025 with 31 HR, 49 SB, and a .298 average while cutting his chase rate for the second straight season. Projections for 2026 keep him squarely in the elite tier with 30+ HR, 40+ SB, and strong run production. The continued gains in swing decisions and contact quality suggest his breakout is fully sustainable. Witt is a top-three overall fantasy pick with league-winning category balance.",1.0,8.0
3,Juan Soto_NYM,538.0,107.0,37,96.0,20.0,0.273,0.407,147,25.0,1.0,122.0,120.0,0.532,0.939,517,H,https://www.fantasypros.com/mlb/players/juan-soto.php,,,,,,,,,,,,,,juan-soto,Juan Soto (NYM - OF),Juan Soto,Soto,NYM,OF,,.273|107R|37HR|96RBI|20SB,4,Juan Soto (NYM - OF),3,4,4.0,OF,Juan Soto (NYM - OF),https://images.fantasypros.com/images/players/mlb/6906/headshot/70x70.png,Juan Soto (RF - NYM),"Juan Soto's first season with the Mets produced 43 HR, 37 SB, and a .396 OBP, marking his highest fantasy ceiling since 2021. His 2026 projections dial back the steals (a common trait across projection systems) but still expect mid-30s HR, with a slight batting-average uptick. The plate discipline remains near flawless, and his run-production environment should stay strong. Soto enters 2026 as a high-floor, high-ceiling first-round hitter whose across-the-board contributions make him one of the safest early picks.",Juan Soto (NYM - OF),Juan Soto,Soto,NYM,OF,,".273|107R|37HR|96RBI|20SB
Juan Soto's first season with the Mets produced 43 HR, 37 SB, and a .396 OBP, marking his highest fantasy ceiling since 2021. His 2026 projections dial back the steals (a common trait across projection systems) but still expect mid-30s HR, with a slight batting-average uptick. The plate discipline remains near flawless, and his run-production environment should stay strong. Soto enters 2026 as a high-floor, high-ceiling first-round hitter whose across-the-board contributions make him one of the safest early picks.",0.0,3.0
4,Jose Ramirez_CLE,581.0,89.0,27,89.0,33.0,0.272,0.343,158,34.0,3.0,62.0,77.0,0.481,0.824,488,H,https://www.fantasypros.com/mlb/players/jose-ramirez.php,,,,,,,,,,,,,,jose-ramirez,"Jose Ramirez (CLE - 3B,DH)",Jose Ramirez,Ramirez,CLE,"3B,DH",,.272|89R|27HR|89RBI|33SB,5,"Jose Ramirez (CLE - 3B,DH)",5,5,5.0,"3B,DH","Jose Ramirez (CLE - 3B,DH)",https://images.fantasypros.com/images/players/mlb/5288/headshot/70x70.png,"Jose Ramirez (3B,DH - CLE)","Jose Ramírez remained one of fantasy's most reliable five-category contributors in 2025, once again clearing 30 HR while adding strong run production and double-digit steals. His 2026 projections show only mild age-related regression, with power and speed both expected to remain intact thanks to elite contact quality and plate discipline. The year-over-year stability in his batted-ball profile reinforces his high floor. Ramírez continues to profile as a safe first-round cornerstone, especially valuable in formats that reward category balance.","Jose Ramirez (CLE - 3B,DH)",Jose Ramirez,Ramirez,CLE,"3B,DH",,".272|89R|27HR|89RBI|33SB
Jose Ramírez remained one of fantasy's most reliable five-category contributors in 2025, once again clearing 30 HR while adding strong run production and double-digit steals. His 2026 projections show only mild age-related regression, with power and speed both expected to remain intact thanks to elite contact quality and plate discipline. The year-over-year stability in his batted-ball profile reinforces his high floor. Ramírez continues to profile as a safe first-round cornerstone, especially valuable in formats that reward category balance.",0.0,6.0
5,Tarik Skubal_DET,,,20,,,,,149,,,,,,,514,P,https://www.fantasypros.com/mlb/players/tarik-skubal.php,193.3,232.0,14.0,0.0,2.79,0.98,60.0,41.0,31.0,31.0,8.0,0.0,10.8,tarik-skubal,Tarik Skubal (DET - SP),Tarik Skubal,Skubal,DET,SP,,14-8-0SV|2.79|0.98|10.80K9,6,Tarik Skubal (DET - SP),6,6,6.0,SP,Tarik Skubal (DET - SP),https://images.fantasypros.com/images/players/mlb/43633/headshot/70x70.png,Tarik Skubal (SP - DET),"Tarik Skubal dominated in 2025, posting ace-level ratios while maintaining elite strikeout and walk rates across a full workload (195 IP). His 2026 projections remain optimistic, forecasting another sub-3 ERA with a strong WHIP and strikeout volume. The sustainability is supported by stable velocity, plus command, and one of the league's best swinging-strike profiles. Skubal enters 2026 as a true fantasy ace and a reliable anchor for managers prioritizing pitching early.",Tarik Skubal (DET - SP),Tarik Skubal,Skubal,DET,SP,,"14-8-0SV|2.79|0.98|10.80K9
Tarik Skubal dominated in 2025, posting ace-level ratios while maintaining elite strikeout and walk rates across a full workload (195 IP). His 2026 projections remain optimistic, forecasting another sub-3 ERA with a strong WHIP and strikeout volume. The sustainability is supported by stable velocity, plus command, and one of the league's best swinging-strike profiles. Skubal enters 2026 as a true fantasy ace and a reliable anchor for managers prioritizing pitching early.",0.0,4.0
6,Corbin Carroll_ARI,559.0,100.0,27,85.0,35.0,0.259,0.339,145,29.0,10.0,68.0,134.0,0.49,0.83,433,H,https://www.fantasypros.com/mlb/players/corbin-carroll-of.php,,,,,,,,,,,,,,corbin-carroll-of,Corbin Carroll (ARI - OF),Corbin Carroll,Carroll,ARI,OF,,.259|100R|27HR|85RBI|35SB,7,Corbin Carroll (ARI - OF),7,7,7.0,OF,Corbin Carroll (ARI - OF),https://images.fantasypros.com/images/players/mlb/23993/headshot/70x70.png,"Corbin Carroll (CF,RF - ARI)","Carroll's 2025 season was uneven, as his power dipped and pitchers challenged him more aggressively in the zone, leading to less authoritative contact. His 2026 projections expect a rebound in both batting average and home runs, paired with elite stolen-base totals that remain his fantasy backbone. Improvements in chase rate late in 2025 offer optimism that his efficiency can stabilize. Carroll still carries early-round upside, but his fantasy value is increasingly driven by speed rather than across-the-board dominance.",Corbin Carroll (ARI - OF),Corbin Carroll,Carroll,ARI,OF,,".259|100R|27HR|85RBI|35SB
Carroll's 2025 season was uneven, as his power dipped and pitchers challenged him more aggressively in the zone, leading to less authoritative contact. His 2026 projections expect a rebound in both batting average and home runs, paired with elite stolen-base totals that remain his fantasy backbone. Improvements in chase rate late in 2025 offer optimism that his efficiency can stabilize. Carroll still carries early-round upside, but his fantasy value is increasingly driven by speed rather than across-the-board dominance.",0.0,11.0
7,Ronald Acuna Jr._ATL,543.0,102.0,29,81.0,24.0,0.281,0.379,153,26.0,2.0,85.0,133.0,0.498,0.877,433,H,https://www.fantasypros.com/mlb/players/ronald-acuna.php,,,,,,,,,,,,,,ronald-acuna,Ronald Acuna Jr. (ATL - OF),Ronald Acuna Jr.,Acuna Jr.,ATL,OF,,.281|102R|29HR|81RBI|24SB,8,Ronald Acuna Jr. (ATL - OF),8,8,8.0,OF,Ronald Acuna Jr. (ATL - OF),https://images.fantasypros.com/images/players/mlb/6966/headshot/70x70.png,Ronald Acuna Jr. (RF - ATL),"Ronald Acuna Jr.'s 2025 was uneven as he worked his way back from knee surgery, flashing his MVP-level ceiling early before fading in the second half. Looking ahead to 2026, fantasy projections still view him as a first-round caliber talent, forecasting roughly 135-145 games with elite across-the-board production in the neighborhood of 30 homers, 90 runs, 90 RBI, and 20-plus steals. Durability remains the clear risk. He has topped 150 games only twice outside of the shortened 2020 season, but the per-game impact is still unmatched when he's on the field. If Acuna slips even slightly in drafts due to health concerns, he's a strong pick under the ""anyone can get hurt"" philosophy. However, managers who prefer safer volume can justify pivoting to another elite bat.",Ronald Acuna Jr. (ATL - OF),Ronald Acuna Jr.,Acuna Jr.,ATL,OF,,".281|102R|29HR|81RBI|24SB
Ronald Acuna Jr.'s 2025 was uneven as he worked his way back from knee surgery, flashing his MVP-level ceiling early before fading in the second half. Looking ahead to 2026, fantasy projections still view him as a first-round caliber talent, forecasting roughly 135-145 games with elite across-the-board production in the neighborhood of 30 homers, 90 runs, 90 RBI, and 20-plus steals. Durability remains the clear risk. He has topped 150 games only twice outside of the shortened 2020 season, but the per-game impact is still unmatched when he's on the field. If Acuna slips even slightly in drafts due to health concerns, he's a strong pick under the ""anyone can get hurt"" philosophy. However, managers who prefer safer volume can justify pivoting to another elite bat.",0.0,12.0
8,Elly De La Cruz_CIN,574.0,90.0,23,81.0,40.0,0.262,0.334,150,32.0,6.0,63.0,170.0,0.459,0.793,372,H,https://www.fantasypros.com/mlb/players/elly-de-la-cruz.php,,,,,,,,,,,,,,elly-de-la-cruz,Elly De La Cruz (CIN - SS),Elly De La Cruz,De La Cruz,CIN,SS,,.262|90R|23HR|81RBI|40SB,9,Elly De La Cruz (CIN - SS),10,9,10.0,SS,Elly De La Cruz (CIN - SS),https://images.fantasypros.com/images/players/mlb/44884/headshot/70x70.png,Elly De La Cruz (SS - CIN),"Elly De La Cruz's 2025 season failed to showcase his elite fantasy ceiling. Fantasy managers expecting him to shore up the stolen base category were disappointed to see them drop from 67 to 37. However, after the season, the Reds revealed ELDC had played through a left quad strain for the entire second half, which is certainly supported by his first-half/second-half splits. Swing-and-miss remains part of his profile, though he did get his strikeout rate below 30% for the first time. His 2026 projections expect modest gains in efficiency rather than raw volume, with a stabilized strikeout rate supporting slightly better average and on-base results. The year-over-year trend in contact quality is encouraging, even if volatility persists. Elly remains a category-warping fantasy asset whose value hinges on embracing the variance.",Elly De La Cruz (CIN - SS),Elly De La Cruz,De La Cruz,CIN,SS,,".262|90R|23HR|81RBI|40SB
Elly De La Cruz's 2025 season failed to showcase his elite fantasy ceiling. Fantasy managers expecting him to shore up the stolen base category were disappointed to see them drop from 67 to 37. However, after the season, the Reds revealed ELDC had played through a left quad strain for the entire second half, which is certainly supported by his first-half/second-half splits. Swing-and-miss remains part of his profile, though he did get his strikeout rate below 30% for the first time. His 2026 projections expect modest gains in efficiency rather than raw volume, with a stabilized strikeout rate supporting slightly better average and on-base results. The year-over-year trend in contact quality is encouraging, even if volatility persists. Elly remains a category-warping fantasy asset whose value hinges on embracing the variance.",1.0,42.0
9,Paul Skenes_PIT,,,17,,,,,148,,,,,,,491,P,https://www.fantasypros.com/mlb/players/paul-skenes.php,189.0,227.0,14.0,0.0,2.83,1.04,59.0,49.0,32.0,32.0,8.0,0.0,10.81,paul-skenes,Paul Skenes (PIT - SP),Paul Skenes,Skenes,PIT,SP,,14-8-0SV|2.83|1.04|10.81K9,10,Paul Skenes (PIT - SP),9,11,10.0,SP,Paul Skenes (PIT - SP),https://images.fantasypros.com/images/players/mlb/47239/headshot/70x70.png,Paul Skenes (SP - PIT),"Paul Skenes lived up to the hype in 2025, overpowering hitters with elite velocity and swing-and-miss stuff while maintaining strong run prevention in his first extended MLB action. Sure, his record was 10-10, and he probably could have been a 20-game winner on almost any other team. His 2026 projections remain aggressive on strikeouts and ratios, and he is expected to pitch almost 200 innings after throwing 187 in 2025. The year-over-year takeaway is how quickly his command stabilized, limiting walks more than expected for a power arm. Skenes profiles as a high-impact fantasy SP1 whose value is driven by dominance rather than volume alone.",Paul Skenes (PIT - SP),Paul Skenes,Skenes,PIT,SP,,"14-8-0SV|2.83|1.04|10.81K9
Paul Skenes lived up to the hype in 2025, overpowering hitters with elite velocity and swing-and-miss stuff while maintaining strong run prevention in his first extended MLB action. Sure, his record was 10-10, and he probably could have been a 20-game winner on almost any other team. His 2026 projections remain aggressive on strikeouts and ratios, and he is expected to pitch almost 200 innings after throwing 187 in 2025. The year-over-year takeaway is how quickly his command stabilized, limiting walks more than expected for a power arm. Skenes profiles as a high-impact fantasy SP1 whose value is driven by dominance rather than volume alone.",0.0,5.0
